job_name,submit_time,origin,assigned,k,duration,latency_ms,carbon_g,dropped
j_091268,34243.9,Korea,US_West,4,16.1,134.0,0.9168055555554727,False
j_000017,34353.1,US_West,France,5,3.8,146.0,0.02111111111112728,False
j_091255,34437.1,Korea,US_West,1,2721.9,134.0,156.92875000000006,False
j_018283,34648.4,US_Central,US_West,1,2150.9,39.0,123.81397222222232,False
j_018271,34688.9,US_Central,France,2,2012.4,113.0,10.985194444444451,False
j_073043,35111.3,Germany,France,5,3.0,12.0,0.016666666666666666,False
j_000027,35235.5,US_West,France,5,6.0,146.0,0.03333333333333333,False
j_109513,35299.6,India,US_West,1,902.2,225.0,51.71161111111094,False
j_036537,35509.7,US_East,US_West,1,1839.2,74.0,106.9803888888887,False
j_054799,36087.9,France,France,1,6017.8,0.0,32.456638888888904,False
j_091256,36284.8,Korea,France,3,38.2,238.0,0.20161111111109575,False
j_109548,36428.7,India,France,4,83.1,137.0,0.43858333333332566,False
j_109531,36504.5,India,US_East,5,6.4,204.0,0.4017777777778691,False
j_073033,36599.9,Germany,France,4,29.9,12.0,0.15780555555556325,False
j_073023,36807.4,Germany,France,4,41.1,12.0,0.21691666666665899,False
j_018299,37718.7,US_Central,France,5,2.1,113.0,0.011083333333325653,False
j_054771,37801.7,France,US_West,5,5.1,146.0,0.2989166666665814,False
j_036539,38281.6,US_East,US_East,1,6069.2,0.0,391.8878952822221,False
j_000009,38361.8,US_West,US_West,1,11830.5,0.0,699.8218255555556,False
j_073017,38875.3,Germany,US_East,1,6797.2,95.0,440.8943748472221,False
j_000031,39031.4,US_West,US_West,2,8836.8,0.0,517.9019088888887,False
j_000026,39501.8,US_West,US_East,5,2.2,74.0,0.13811111111092841,False
j_036513,39714.2,US_East,US_West,4,21.2,74.0,1.2248890066664984,False
j_091286,39781.8,Korea,US_West,3,129.7,134.0,7.493778498333166,False
j_109543,39962.6,India,US_East,4,46.5,204.0,3.0225,False
j_109533,39968.4,India,US_West,4,19.9,225.0,1.1497778883334175,False
j_073040,39994.7,Germany,US_East,4,29.6,95.0,1.9239999999999053,False
j_109539,40106.1,India,US_West,4,78.5,225.0,4.535555991666667,False
j_054774,40279.3,France,US_East,1,7116.4,90.0,463.8969644444446,False
j_073025,40306.0,Germany,US_East,4,27.3,95.0,1.7745000000001891,False
j_127751,40316.3,Japan,France,5,9.8,228.0,0.054444444444460616,False
j_018282,40445.3,US_Central,France,5,3.6,113.0,0.019999999999991917,False
j_018256,40449.8,US_Central,France,1,2983.0,113.0,16.507555555555555,False
j_036515,40512.0,US_East,France,2,8494.6,90.0,45.57927777777777,False
j_036526,40609.9,US_East,France,1,3976.0,90.0,21.703916666666668,False
j_000037,40630.6,US_West,US_West,2,7170.4,0.0,420.9045142744445,False
j_073006,40643.0,Germany,US_East,5,10.1,95.0,0.6564999999999054,False
